STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,METRO_ID,Metropolitan areas,VAR,Variables,TIME_PERIOD,Year,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,KOR04,Gwangsan,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,29935,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,CAN11,Kitchener,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,45509,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,USA42,New Orleans,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,54947,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,USA34,Salt Lake,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,62440,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,USA07,Dallas,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,62153,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,MEX21,Aguascalientes,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,22666,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,JPN49,Hachinohe,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,32258,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,USA86,Stanislaus,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,38120,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,USA125,Washtenaw,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,61677,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,FR009,Lille,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,35617,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,DE069,Rosenheim,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,44209,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,MEX51,Minatitlan,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,13779,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,BE001,Brussels,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,59547,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,CAN05,Calgary,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,56896,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,HU002,Miskolc,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,19142,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,DE507,Aachen,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,45236,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,FR026,Grenoble,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,38713,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,USA46,Richmond (Greater),GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,65030,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,CZ001,Prague,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,58915,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,UK001,London,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,67940,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,UK520,Southampton,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,43984,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,JPN43,Akita,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,30918,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,MEX19,Veracruz,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,12791,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,USA81,Brevard,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,39043,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,CAN07,Quebec,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,38538,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,MEX26,Xalapa,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,13343,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,USA76,Polk,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,76383,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,MEX37,Poza Rica de Hidalgo,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,13547,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,FR048,Annecy,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,35714,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,PT001,Lisbon,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,39111,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,IT004,Turin,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,41742,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,USA144,St. Lucie,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,28576,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,MEX42,Nuevo Laredo,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,20095,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,SE002,Gothenburg,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,49168,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,USA118,Stark,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,43299,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,FR014,Amiens,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,31501,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,MEX05,Toluca,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,12794,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,IT505,Reggio nell'Emilia,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,46125,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,UK016,Aberdeen,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,53777,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,DE038,Ruhr,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,38936,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,DE007,Stuttgart,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,66661,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,CL004,Antofagasta,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,59206,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,IT003,Naples,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,25074,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,USA157,Kalamazoo,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,48700,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,IT016,Perugia,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,33847,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,CAN16,Sherbrooke,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,39090,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,USA74,Lee,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,41238,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,CAN10,London,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,45712,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,NL511,Zwolle,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,45594,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,JPN44,Asahikawa,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,34501,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,MEX12,Torreon,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,22947,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,USA68,Kent,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,58313,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,FR017,Metz,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,30612,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,DE020,Wiesbaden,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,58422,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,TR004,Balikesir,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,22420,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,NOR,Norway,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,60757,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,ITA,Italy,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,37417,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,RO001,Copaceni,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,54355,,A,,USD,US Dollar,0,Units,,
